Año,Mes,temp_promedio
2022,5,12.17
2022,6,12.38
2022,7,12.58
2022,8,11.89
2022,9,11.94
2022,10,12.23
2022,11,13.44
2022,12,14.18
2022,1,14.82
2022,2,14.24
2022,3,13.61
2022,4,12.49
2022,5,12.22
2022,6,11.04
2022,7,10.97
2022,8,11.94
2022,9,12.17
2022,10,12.47
2022,11,13.93
2022,12,13.43
2022,1,15.23
2022,2,13.6
2022,3,13.7
2022,4,12.12
2022,5,11.65
2022,6,10.26
2022,7,9.48
2022,8,10.13
2022,9,11.25
2022,10,12.65
2022,11,14.21
2022,12,14.92
2022,1,13.55
2022,2,14.66
2022,1,14.93
2022,2,14.34
2022,3,13.43
2022,4,11.86
2022,5,11.05
2022,6,9.61
2022,7,9.25
2022,8,9.75
2022,9,10.52
2022,10,11.59
2022,11,12.97
2022,12,14.34
2022,1,16.06
2022,2,15.55
2022,3,12.61
2022,4,10.81
2022,5,9.5
2022,6,9.89
2022,7,8.68
2022,8,7.9
2022,9,8.26
2022,10,9.82
2022,11,13.29
2022,12,13.4
2022,1,9.38
2022,2,9.43
2022,3,9.1
2022,4,8.26
2022,5,7.43
2022,6,6.48
2022,7,5.84
2022,8,5.93
2022,9,6.18
2022,10,6.67
2022,11,7.56
2022,12,8.48
2022,1,9.03
2022,2,9.26
2022,3,8.67
2022,4,7.51
2022,5,6.68
2022,6,5.79
2022,7,5.18
2022,8,5.48
2022,9,5.55
2022,10,6.38
2022,11,8.01
2022,12,8.67
2023,1,18.18
2023,2,19.81
2023,3,19.48
2023,4,18.52
2023,5,18.77
2023,6,19.68
2023,7,18.69
2023,8,18.69
2023,9,18.1
2023,10,17.03
2023,11,17.04
2023,12,17.77
2023,1,16.15
2023,2,16.46
2023,3,17.48
2023,4,16.8
2023,5,18.11
2023,6,19.45
2023,7,18.29
2023,8,18.53
2023,9,17.87
2023,10,15.74
2023,11,16.54
2023,12,16.93
2023,1,19.86
2023,2,20.49
2023,3,20.13
2023,4,18.72
2023,5,16.94
2023,6,17.87
2023,7,18.34
2023,8,18.1
2023,9,17.3
2023,10,17.42
2023,11,17.95
2023,12,19.42
2023,4,21.19
2023,5,20.12
2023,6,19.32
2023,7,18.83
2023,8,18.67
2023,9,18.08
2023,10,17.62
2023,11,17.99
2023,12,18.09
2023,1,24.89
2023,2,26.15
2023,3,25.75
2023,4,24.34
2023,5,22.76
2023,6,21.75
2023,7,20.8
2023,8,20.12
2023,9,20.61
2023,10,20.65
2023,11,21.49
2023,12,22.34
2023,1,17.51
2023,2,19.06
2023,3,16.86
2023,4,16.24
2023,5,15.2
2023,6,15.78
2023,7,16.31
2023,8,16.65
2023,9,15.07
2023,10,15.2
2023,11,15.55
2023,12,16.69
2023,1,17.85
2023,2,18.26
2023,3,18.45
2023,4,16.15
2023,5,14.55
2023,6,14.37
2023,7,14.35
2023,8,14.95
2023,9,14.77
2023,10,14.78
2023,11,15.8
2023,12,16.13
2023,1,18.89
2023,2,19.78
2023,3,19.81
2023,4,19.45
2023,5,17.8
2023,6,16.44
2023,7,15.4
2023,8,15.01
2023,9,14.85
2023,10,14.58
2023,11,15.09
2023,12,16.17
2023,1,15.13
2023,2,16.15
2023,3,15.87
2023,4,13.67
2023,5,12.82
2023,6,12.78
2023,7,12.98
2023,8,13.53
2023,9,12.36
2023,10,12.85
2023,11,13.0
2023,12,14.22
2023,1,16.17
2023,2,15.77
2023,3,15.51
2023,4,13.25
2023,5,12.69
2023,6,12.18
2023,7,12.48
2023,8,13.11
2023,9,12.29
2023,10,12.45
2023,11,13.08
2023,12,13.83
2023,1,14.01
2023,2,13.27
2023,3,14.54
2023,4,12.93
2023,5,12.93
2023,6,12.3
2023,7,12.31
2023,8,12.43
2023,9,12.65
2023,10,12.49
2023,11,13.35
2023,12,13.45
2023,1,14.29
2023,2,13.63
2023,3,13.44
2023,4,12.15
2023,5,11.74
2023,6,11.13
2023,7,10.43
2023,8,10.6
2023,9,11.0
2023,10,11.95
2023,11,13.11
2023,12,14.14
2023,4,12.49
2023,5,11.0
2023,6,10.32
2023,7,10.4
2023,8,10.41
2023,9,10.45
2023,10,12.05
2023,11,11.86
2023,12,14.82
2023,1,14.33
2023,2,14.31
2023,3,13.35
2023,4,12.08
2023,5,11.33
2023,6,10.48
2023,7,10.16
2023,8,10.33
2023,9,10.65
2023,10,11.92
2023,11,12.3
2023,12,13.93
2023,1,15.68
2023,2,15.61
2023,3,12.36
2023,4,10.86
2023,5,9.46
2023,6,8.06
2023,7,8.79
2023,8,7.24
2023,9,8.59
2023,10,10.61
2023,11,10.51
2023,12,13.57
2023,1,9.26
2023,2,9.19
2023,3,8.56
2023,4,7.76
2023,5,7.13
2023,6,6.25
2023,7,5.52
2023,8,5.35
2023,9,5.59
2023,10,6.24
2023,11,7.0
2023,12,7.93
2023,1,9.51
2023,2,9.53
2023,3,8.23
2023,4,7.17
2023,5,6.43
2023,6,5.76
2023,7,5.36
2023,8,4.87
2023,9,4.87
2023,10,5.79
2023,11,6.63
2023,12,8.05
